1,1,4,4,4,3,0,0
2,1,4,4,4,3,0,0
3,1,3,3,4,3,0,0
4,1,3,3,3,3,0,0
1,2,4,4,3,3,0,0
2,2,4,4,1,3,0,0
3,2,3,3,1,3,0,0
4,2,3,3,3,3,0,0
1,3,4,4,4,3,0,3
2,3,4,4,1,3,0,3
3,3,3,3,1,3,0,3
4,3,3,3,3,3,0,3
1,4,4,4,4,3,0,6
2,4,4,4,1,3,0,6
3,4,3,3,1,3,0,6
4,4,3,3,3,2,0,6
1,5,4,4,4,3,3,9
2,5,4,4,1,3,3,9
3,5,3,3,1,2,3,9
4,5,3,3,3,2,3,9
1,6,4,4,3,3,6,12
2,6,4,4,1,3,6,12
3,6,3,3,1,2,6,12
4,6,3,3,3,2,6,12
1,7,3,4,3,3,11,17
2,7,3,4,1,3,11,17
3,7,2,3,1,2,11,17
4,7,2,3,3,2,11,17
1,8,3,4,3,3,18,24
2,8,3,4,1,3,18,24
3,8,2,3,1,2,18,24
4,8,2,3,3,2,18,24
1,9,3,4,3,3,21,27
2,9,3,4,1,3,21,27
3,9,2,3,1,2,21,27
4,9,2,3,2,2,21,27
1,10,3,4,3,3,24,30
2,10,3,4,1,3,24,30
3,10,2,3,1,2,24,30
4,10,2,3,2,2,24,30
